DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Switzerland,2019,135431416,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Switzerland,2020,89870221,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Switzerland,2021,88466752,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Switzerland,2022,123906856,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2013,15792375,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2014,17340400,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2015,14730847,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2016,15837339,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2017,16401111,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2018,14534395,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2019,15976501,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2020,10064041,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2021,9415909,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2022,13010663,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2023,15332686,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Cyprus,2024,16964238,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2013,126664599,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2014,132228650,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2015,120787429,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2016,134383118,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2017,142717744,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2018,136921820,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2019,143687775,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2020,99408993,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2021,112385198,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2022,134127499,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2023,123408851,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Czechia,2024,123834251,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Germany,2013,1178024126,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Germany,2014,1157965754,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Germany,2015,1186949304,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Germany,2016,1214745591,,
