DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2018,476294,e,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2019,468787,e,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2020,371523,e,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2021,545835,e,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2022,683467,e,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2023,926803,e,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024,993348,,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2014,11400395,,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2015,11805718,,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2016,12413155,,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2017,12680617,,
ESTAT:TIN00174(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2018,13087273,,
